patient_id,condition,repetition,F1_drop,omission_rise,hallucination_rise
patient_23,section_redundancy,16,0.0,0.0,0.0
patient_24,section_redundancy,16,0.0,0.0,0.0
patient_25,section_redundancy,16,0.0,0.0,0.0
patient_26,section_redundancy,16,0.39999999999999997,2.0,2.0
patient_27,section_redundancy,16,0.2857142857142857,2.0,2.0
patient_28,section_redundancy,16,0.0,0.0,0.0
patient_29,section_redundancy,16,-0.39999999999999997,-2.0,-2.0
patient_30,section_redundancy,16,0.16190476190476188,1.0,2.0
patient_31,section_redundancy,16,0.014705882352941207,0.0,1.0
patient_32,section_redundancy,16,0.0,0.0,0.0
patient_33,section_redundancy,16,0.0,0.0,0.0
patient_34,section_redundancy,16,0.0,0.0,0.0
patient_35,section_redundancy,16,0.0,0.0,0.0
patient_36,section_redundancy,16,0.39999999999999997,2.0,2.0
patient_37,section_redundancy,16,0.2857142857142857,2.0,2.0
patient_38,section_redundancy,16,0.0,0.0,0.0
patient_39,section_redundancy,16,-0.39999999999999997,-2.0,-2.0
patient_40,section_redundancy,16,0.16190476190476188,1.0,2.0
patient_41,section_redundancy,16,0.0,0.0,0.0
patient_42,section_redundancy,16,0.0,0.0,0.0
patient_43,section_redundancy,16,0.0,0.0,0.0
patient_44,section_redundancy,16,0.0,0.0,0.0
patient_45,section_redundancy,16,0.0,0.0,0.0
patient_46,section_redundancy,16,0.39999999999999997,2.0,2.0
patient_47,section_redundancy,16,0.2857142857142857,2.0,2.0
patient_48,section_redundancy,16,0.0,0.0,0.0
patient_49,section_redundancy,16,-0.39999999999999997,-2.0,-2.0
patient_50,section_redundancy,16,0.16190476190476188,1.0,2.0
patient_51,section_redundancy,16,0.11764705882352941,1.0,1.0
patient_52,section_redundancy,16,0.0,0.0,0.0
patient_53,section_redundancy,16,0.0,0.0,0.0
patient_54,section_redundancy,16,0.0,0.0,0.0
patient_55,section_redundancy,16,0.0,0.0,0.0
patient_56,section_redundancy,16,0.39999999999999997,2.0,2.0
patient_57,section_redundancy,16,0.2857142857142857,2.0,2.0
patient_58,section_redundancy,16,0.0,0.0,0.0
patient_59,section_redundancy,16,-0.39999999999999997,-2.0,-2.0
patient_60,section_redundancy,16,0.16190476190476188,1.0,2.0
patient_61,section_redundancy,16,0.11764705882352941,1.0,1.0
patient_62,section_redundancy,16,0.0,0.0,0.0
patient_63,section_redundancy,16,0.0,0.0,0.0
patient_64,section_redundancy,16,0.0,0.0,0.0
patient_65,section_redundancy,16,0.0,0.0,0.0
patient_66,section_redundancy,16,0.39999999999999997,2.0,2.0
patient_67,section_redundancy,16,0.2857142857142857,2.0,2.0
patient_68,section_redundancy,16,0.0,0.0,0.0
patient_69,section_redundancy,16,-0.39999999999999997,-2.0,-2.0
patient_70,section_redundancy,16,0.16190476190476188,1.0,2.0
patient_71,section_redundancy,16,0.0,0.0,0.0
patient_72,section_redundancy,16,0.0,0.0,0.0
patient_73,section_redundancy,16,0.0,0.0,0.0
patient_74,section_redundancy,16,0.0,0.0,0.0
patient_75,section_redundancy,16,0.0,0.0,0.0
patient_76,section_redundancy,16,0.39999999999999997,2.0,2.0
patient_77,section_redundancy,16,0.2857142857142857,2.0,2.0
patient_78,section_redundancy,16,0.0,0.0,0.0
patient_79,section_redundancy,16,-0.39999999999999997,-2.0,-2.0
patient_80,section_redundancy,16,0.16190476190476188,1.0,2.0
patient_81,section_redundancy,16,0.014705882352941207,0.0,1.0
patient_82,section_redundancy,16,0.0,0.0,0.0
patient_83,section_redundancy,16,0.0,0.0,0.0
patient_84,section_redundancy,16,0.0,0.0,0.0
patient_85,section_redundancy,16,0.0,0.0,0.0
patient_86,section_redundancy,16,0.39999999999999997,2.0,2.0
patient_87,section_redundancy,16,0.2857142857142857,2.0,2.0
patient_88,section_redundancy,16,0.0,0.0,0.0
patient_89,section_redundancy,16,-0.39999999999999997,-2.0,-2.0
patient_90,section_redundancy,16,0.16190476190476188,1.0,2.0
patient_91,section_redundancy,16,0.0,0.0,0.0
patient_92,section_redundancy,16,0.0,0.0,0.0
patient_93,section_redundancy,16,0.0,0.0,0.0
patient_94,section_redundancy,16,0.0,0.0,0.0
patient_95,section_redundancy,16,0.0,0.0,0.0
patient_96,section_redundancy,16,0.39999999999999997,2.0,2.0
patient_97,section_redundancy,16,0.2857142857142857,2.0,2.0
patient_98,section_redundancy,16,0.0,0.0,0.0
patient_99,section_redundancy,16,-0.39999999999999997,-2.0,-2.0
