condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens
filler,patient_28,16,1,1768,131,1899
filler,patient_28,10,1,1193,130,1323
filler,patient_27,5,1,599,121,720
filler,patient_27,1,1,299,113,412
filler,patient_27,16,1,1428,112,1540
filler,patient_27,10,1,980,112,1092
filler,patient_26,5,1,556,91,647
filler,patient_26,1,1,283,91,374
filler,patient_26,16,1,1312,91,1403
filler,patient_26,10,1,894,91,985
filler,patient_25,5,1,692,122,814
filler,patient_25,1,1,325,133,458
filler,patient_25,16,1,1650,122,1772
filler,patient_25,10,1,1122,121,1243
filler,patient_24,5,1,559,85,644
filler,patient_24,1,1,280,92,372
filler,patient_24,16,1,1304,85,1389
filler,patient_24,10,1,876,85,961
filler,patient_23,5,1,761,149,910
filler,patient_23,1,1,353,149,502
filler,patient_23,16,1,1873,149,2022
filler,patient_23,10,1,1254,136,1390
filler,patient_22,5,1,735,112,847
filler,patient_22,1,1,340,177,517
filler,patient_22,16,1,1765,112,1877
filler,patient_22,10,1,1198,112,1310
filler,patient_21,5,1,905,133,1038
filler,patient_21,1,1,396,230,626
filler,patient_21,16,1,2288,138,2426
filler,patient_21,10,1,1539,139,1678
filler,patient_20,5,1,673,113,786
filler,patient_20,1,1,322,121,443
filler,patient_20,16,1,1672,113,1785
filler,patient_20,10,1,1105,116,1221
filler,patient_19,5,1,558,100,658
filler,patient_19,1,1,270,100,370
filler,patient_19,16,1,1247,94,1341
filler,patient_19,10,1,866,94,960
filler,patient_18,5,1,709,130,839
filler,patient_18,1,1,333,139,472
filler,patient_18,16,1,1780,131,1911
filler,patient_18,10,1,1206,130,1336
filler,patient_17,5,1,623,121,744
filler,patient_17,1,1,299,113,412
filler,patient_17,16,1,1438,112,1550
filler,patient_17,10,1,995,112,1107
filler,patient_16,5,1,563,91,654
filler,patient_16,1,1,283,91,374
filler,patient_16,16,1,1315,91,1406
filler,patient_16,10,1,907,91,998
filler,patient_15,5,1,671,122,793
filler,patient_15,1,1,325,133,458
filler,patient_15,16,1,1634,122,1756
filler,patient_15,10,1,1109,121,1230
filler,patient_14,5,1,563,85,648
filler,patient_14,1,1,280,92,372
filler,patient_14,16,1,1341,85,1426
filler,patient_14,10,1,900,85,985
filler,patient_13,5,1,754,149,903
filler,patient_13,1,1,353,149,502
filler,patient_13,16,1,1909,136,2045
filler,patient_13,10,1,1259,136,1395
filler,patient_12,5,1,722,162,884
filler,patient_12,1,1,340,177,517
filler,patient_12,16,1,1768,112,1880
filler,patient_12,10,1,1180,154,1334
filler,patient_11,5,1,916,132,1048
filler,patient_11,1,1,396,230,626
filler,patient_11,16,1,2287,138,2425
filler,patient_11,10,1,1567,139,1706
filler,patient_100,5,1,681,113,794
filler,patient_100,1,1,325,121,446
filler,patient_100,16,1,1622,113,1735
filler,patient_100,10,1,1094,113,1207
filler,patient_10,5,1,664,113,777
filler,patient_10,1,1,322,121,443
filler,patient_10,16,1,1619,113,1732
filler,patient_10,10,1,1111,113,1224
filler,patient_09,5,1,541,94,635
filler,patient_09,1,1,270,171,441
filler,patient_09,16,1,1236,94,1330
filler,patient_09,10,1,850,94,944
filler,patient_08,5,1,735,130,865
filler,patient_08,1,1,333,139,472
filler,patient_08,16,1,1759,131,1890
filler,patient_08,10,1,1183,130,1313
filler,patient_07,5,1,603,121,724
filler,patient_07,1,1,299,113,412
filler,patient_07,16,1,1461,112,1573
filler,patient_07,10,1,992,112,1104
filler,patient_06,5,1,561,91,652
filler,patient_06,1,1,283,91,374
filler,patient_06,16,1,1307,91,1398
filler,patient_06,10,1,906,91,997
filler,patient_05,5,1,677,122,799
filler,patient_05,1,1,325,133,458
filler,patient_05,16,1,1655,122,1777
filler,patient_05,10,1,1121,122,1243
filler,patient_04,5,1,552,85,637
filler,patient_04,1,1,280,92,372
filler,patient_04,16,1,1299,85,1384
filler,patient_04,10,1,889,85,974
filler,patient_03,5,1,762,149,911
filler,patient_03,1,1,353,149,502
filler,patient_03,16,1,1867,136,2003
filler,patient_03,10,1,1260,136,1396
filler,patient_02,5,1,740,162,902
filler,patient_02,1,1,340,177,517
filler,patient_02,16,1,1754,112,1866
filler,patient_02,10,1,1188,112,1300
filler,patient_01,5,1,901,132,1033
filler,patient_01,1,1,396,230,626
filler,patient_01,16,1,2303,138,2441
filler,patient_01,10,1,1540,139,1679
